CODIGO;CIDADE;UF;JANEIRO;FEVEREIRO;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;ANO
83395;JANAUBA;MG;149.1;74.0;92.8;35.0;6.0;1.4;0.2;2.5;5.7;46.1;177.5;170.8;761.1
83386;JANUARIA;MG;162.0;121.5;142.0;36.9;8.6;1.5;0.2;0.9;8.0;52.9;191.6;208.1;934.2
83464;JATAI;GO;226.6;236.1;275.4;110.5;47.9;18.9;7.4;10.3;59.2;136.6;200.0;264.4;1593.3
83591;JOAO MONLEVADE;MG;232.9;132.8;196.8;74.3;28.3;11.8;5.3;13.1;42.3;101.4;259.5;-;-
82798;JOAO PESSOA;PB;86.4;106.2;171.5;235.7;287.7;368.7;284.9;133.7;73.9;31.0;21.1;36.6;1837.4
83481;JOAO PINHEIRO;MG;-;166.8;217.8;66.2;26.9;4.5;2.9;7.2;27.5;86.9;232.9;289.4;-
83692;JUIZ DE FORA;MG;297.4;170.3;207.5;78.5;38.6;17.3;14.4;18.8;57.8;117.6;236.2;310.4;1564.8
83452;JURAMENTO;MG;158.9;101.0;117.7;38.7;11.3;4.0;0.7;1.4;16.2;69.7;183.1;215.6;918.3
82723;LABREA;AM;298.2;298.7;317.5;239.0;139.4;40.9;-;50.6;104.4;167.9;215.7;270.8;-
83891;LAGES;SC;177.6;167.0;126.6;115.1;120.7;126.7;159.3;125.6;175.0;201.4;138.1;149.1;1782.2
83687;LAVRAS;MG;292.4;178.2;162.2;54.6;43.3;19.8;9.5;15.1;55.1;101.0;192.4;259.8;1383.4
83242;LENCOIS;BA;133.1;93.9;164.3;113.6;62.5;55.7;41.5;40.4;26.4;75.5;135.0;115.8;1057.7
83766;LONDRINA;PR;257.6;203.6;-;91.0;107.0;94.6;70.5;57.7;100.8;155.9;152.4;196.5;-
82296;LUZILANDIA(LAG.DO PIAUI);PI;-;199.6;-;260.2;145.5;74.4;32.2;10.5;5.3;15.3;11.5;59.3;-
82098;MACAPA;AP;268.1;369.3;400.1;376.4;308.4;252.4;203.9;96.3;25.4;22.7;58.1;144.6;2525.7
82994;MACEIO;AL;91.2;80.2;101.3;194.3;294.7;322.8;270.9;191.5;109.2;70.2;45.1;36.7;1808.1
83683;MACHADO;MG;282.8;212.9;176.0;68.5;62.0;23.3;19.4;17.1;70.9;115.6;174.8;240.6;1463.9
82331;MANAUS;AM;305.6;296.8;320.9;331.0;233.3;117.2;67.1;56.1;79.0;113.9;188.0;253.5;2362.4
82533;MANICORE;AM;317.0;350.2;341.8;324.1;216.0;94.0;52.9;60.7;101.8;186.0;228.7;282.2;2555.4
82562;MARABA;PA;273.4;295.7;342.9;233.5;125.8;24.8;15.1;9.3;42.2;80.3;151.3;192.2;1786.5
83015;MARIA DA FE;MG;300.9;200.8;170.5;76.9;65.9;39.2;33.0;25.7;80.2;-;-;259.9;-
83767;MARINGA;PR;226.0;200.8;154.5;112.9;118.7;103.5;72.9;66.8;124.2;173.0;154.0;194.9;1702.2
83214;MATUPA;MT;-;280.2;289.9;151.3;39.9;6.5;2.3;8.8;74.1;161.2;206.1;278.8;-
82181;MONTE ALEGRE;PA;161.3;225.2;303.6;334.4;256.4;152.9;102.1;42.7;18.2;29.1;61.8;100.7;1788.4
83388;MONTE AZUL;MG;124.4;93.1;111.1;32.8;5.8;1.6;0.4;0.9;9.8;46.0;145.3;176.9;748.1
83090;MONTE SANTO;BA;58.5;54.2;53.7;50.5;50.6;54.6;52.3;33.7;19.2;19.3;48.8;60.3;555.7
83437;MONTES CLAROS;MG;179.8;104.5;137.0;41.5;11.5;2.0;0.6;1.6;18.5;73.3;205.8;222.5;998.6
82588;MORADA NOVA;CE;90.7;108.6;-;138.6;91.1;58.2;-;8.9;1.0;4.0;3.8;22.7;-
83184;MORRO DO CHAPEU;BA;82.1;71.2;80.7;57.9;28.2;34.8;29.9;24.6;18.0;33.8;93.1;71.4;625.7
83013;MUNIZ FREIRE;ES;185.5;141.5;185.4;113.3;56.8;22.8;19.3;23.2;53.7;104.3;208.6;266.5;1380.9
82598;NATAL;RN;80.7;99.8;200.8;240.5;221.8;348.8;254.0;118.7;54.0;20.6;22.5;29.0;1691.2
83513;NHUMIRIM (NHECOLANDIA);MS;171.5;144.9;137.5;77.1;62.9;22.0;13.7;20.2;45.1;92.4;143.6;154.3;1085.2
83319;NOVA XAV.(XAVANTINA);MT;278.9;222.1;213.9;76.0;11.2;7.9;2.8;2.6;35.7;125.0;205.4;271.6;1453.1
82178;OBIDOS;PA;261.0;289.2;346.0;308.2;209.8;92.6;64.2;33.6;39.6;44.5;106.6;141.2;1936.5
82753;OURICURI;PE;95.1;103.4;135.6;83.3;41.3;8.6;11.8;3.9;2.6;14.1;31.5;76.8;608.0
83364;PADRE RICARDO REMETTER;MT;234.6;212.5;197.6;101.0;39.6;18.8;11.3;14.1;44.1;103.0;165.6;207.2;1349.4
83033;PALMAS;TO;298.6;260.0;264.0;179.8;60.5;6.3;0.9;1.3;46.2;143.9;223.6;264.5;1749.6
82992;PALMEIRA DOS INDIOS;AL;43.3;45.6;57.7;85.8;131.6;148.8;131.4;88.7;41.7;29.3;15.7;22.6;842.2
83479;PARACATU;MG;258.0;204.4;207.8;73.8;24.1;5.6;0.9;8.9;28.8;80.3;212.2;313.4;1418.2
83844;PARANAGUA;PR;341.5;328.6;280.1;160.9;115.4;109.8;108.8;75.5;159.7;174.6;189.8;244.6;2289.3
83565;PARANAIBA;MS;286.0;200.7;181.3;65.6;49.0;25.5;14.5;16.9;60.2;95.0;140.8;218.2;1353.7
82287;PARNAIBA;PI;123.1;173.2;206.9;216.7;144.5;51.1;42.7;4.5;0.9;2.5;3.0;27.8;996.9
83737;PASSA QUATRO;MG;-;191.0;172.1;66.3;55.4;35.9;24.2;19.5;73.4;138.8;181.6;260.4;-
83914;PASSO FUNDO;RS;173.7;146.9;137.3;140.2;153.5;158.1;163.0;130.8;165.5;239.4;160.1;162.2;1930.7
82791;PATOS;PB;109.8;136.2;184.2;118.1;70.2;-;-;5.5;1.1;6.4;9.1;38.5;-
83531;PATOS DE MINAS;MG;275.5;177.3;206.9;70.5;33.2;11.8;3.8;7.3;43.3;93.8;207.6;302.4;1433.4
82882;PAULISTANA;PI;122.5;112.2;149.6;48.8;20.0;-;0.9;0.2;1.8;17.8;55.5;63.2;-
83393;PEDRA AZUL;MG;118.5;66.7;127.0;52.5;29.1;13.6;13.8;10.5;13.1;51.9;180.2;171.7;848.6
82863;PEDRO AFONSO;TO;282.3;229.2;277.1;186.5;67.5;4.9;3.3;2.3;42.5;124.4;215.6;229.0;1664.6
83228;PEIXE;TO;270.2;211.0;215.8;125.2;22.9;4.7;0.0;0.1;32.3;92.9;190.1;252.3;1417.5
83985;PELOTAS;RS;115.9;141.8;107.2;111.1;117.1;107.7;112.7;117.4;128.7;120.2;99.4;103.2;1382.4
82983;PETROLINA;PE;83.5;78.1;83.6;45.8;11.0;5.7;4.5;1.7;2.3;9.2;46.5;47.1;419.0
83483;PIRAPORA;MG;189.1;103.5;143.5;43.6;11.9;2.7;0.9;5.1;17.6;69.5;227.0;236.4;1050.8
83376;PIRENOPOLIS;GO;281.7;238.4;254.7;155.3;28.5;6.4;1.8;11.1;37.0;134.9;239.8;277.7;1667.3
82480;PIRIPIRI;PI;196.5;244.5;328.2;311.2;146.9;43.3;15.1;10.8;5.2;21.8;28.5;57.1;1409.1
83570;POMPEU;MG;234.3;149.4;179.1;59.4;27.2;7.7;6.1;7.0;34.9;68.0;189.8;264.7;1227.6
83967;PORTO ALEGRE;RS;120.7;110.8;103.3;114.4;112.8;130.4;163.5;120.1;147.8;153.2;105.5;112.1;1494.6
82184;PORTO DE MOZ;PA;219.4;283.2;333.9;393.0;323.9;243.9;150.6;79.0;54.7;47.0;59.3;115.7;2303.6
82996;PORTO DE PEDRAS;AL;-;91.4;169.7;188.8;248.5;287.1;232.6;154.3;82.1;46.9;35.9;-;-
83064;PORTO NACIONAL;TO;255.0;241.5;247.9;169.2;47.9;3.9;0.1;3.2;36.9;111.7;179.9;261.8;1559.0
83332;POSSE;GO;199.7;192.1;226.7;121.2;28.4;1.8;0.3;4.6;13.2;99.7;220.8;237.0;1345.5
83358;POXORÉU;MT;273.1;253.8;243.1;127.2;44.2;13.9;3.9;13.3;54.4;172.8;220.2;281.0;1700.9
83097;PROPRIA;SE;53.0;32.3;57.8;102.9;166.5;153.3;141.6;83.8;54.4;38.1;19.8;20.8;924.3
82586;QUIXERAMOBIM;CE;86.6;85.6;136.9;160.0;100.9;53.0;-;13.2;1.8;2.5;5.2;17.9;-
82900;RECIFE (CURADO);PE;106.6;127.0;197.2;268.9;317.1;390.5;314.8;186.7;93.3;52.8;39.0;61.6;2155.5
82979;REMANSO;BA;113.4;102.6;121.6;60.3;6.1;2.0;0.8;0.4;2.7;19.0;76.0;74.0;578.9
83738;RESENDE;RJ;307.0;223.1;220.9;89.4;48.1;25.9;29.6;24.4;61.8;117.6;219.8;253.2;1620.8
